session_id,charge_date,vehicle_model,region,driving_style,charger_type,battery_capacity_kwh,state_of_charge_start,state_of_charge_end,charging_power_kw,charging_duration_mins,energy_consumed_kwh,charging_cost_inr_per_kwh,efficiency_km_per_kwh,predicted_range_km,actual_range_km,vehicle_price_inr,cost_inr
EV0155,2026-02-14T10:41:00,BYD Atto 3,Mumbai,Sport,AC,60.5,26.2,87.6,3.3,662.5,36.16,8.48,4.68,248.3,251.8,2499000,306.64
EV0156,2026-04-22T16:33:00,Mahindra XUV400,Mumbai,Normal,AC,39.4,24.5,83.3,22.0,67.9,24.57,7.37,6.32,207.4,186.7,1599000,181.08
EV0157,2026-03-22T12:29:00,BYD Atto 3,Hyderabad,Normal,AC,60.5,15.7,72.3,22.0,93.1,33.15,11.64,5.72,250.3,223.7,2499000,385.87
EV0158,2026-03-02T11:33:00,BYD Atto 3,Chennai,Normal,AC,60.5,34.7,84.9,3.3,584.0,31.88,11.81,5.08,260.6,237.4,2499000,376.5
EV0159,2026-03-23T05:34:00,Hyundai Kona,Pune,Eco,AC,39.2,21.3,68.1,7.2,156.0,18.35,11.71,6.14,164.0,155.3,2371000,214.88
EV0160,2026-06-20T12:09:00,Tata Nexon EV,Mumbai,Eco,AC,40.5,38.9,75.8,7.2,127.2,14.75,11.25,6.41,196.8,195.1,1450000,165.94
EV0161,2026-06-29T08:38:00,MG ZS EV,Mumbai,Eco,AC,50.3,24.3,73.3,22.0,73.5,24.76,11.66,6.75,248.8,246.7,1899000,288.7
EV0162,2026-04-15T19:57:00,Mahindra XUV400,Bengaluru,Eco,AC,39.4,34.7,92.5,7.2,202.8,23.29,8.6,6.54,238.2,226.9,1599000,200.29
EV0163,2026-04-09T10:11:00,BYD Atto 3,Chennai,Normal,AC,60.5,33.7,86.0,22.0,86.8,31.34,9.23,5.55,288.8,278.8,2499000,289.27
EV0164,2026-05-04T01:00:00,Mahindra XUV400,Hyderabad,Eco,AC,39.4,44.7,83.3,7.2,127.2,15.02,9.91,6.87,225.6,214.0,1599000,148.85
EV0165,2026-01-04T03:00:00,Mahindra XUV400,Chennai,Sport,AC,39.4,18.7,85.0,7.2,231.0,26.74,11.52,5.54,185.4,181.9,1599000,308.04
EV0166,2026-04-11T07:55:00,Tata Nexon EV,Chennai,Normal,AC,40.5,18.5,71.7,22.0,58.1,21.14,8.8,6.19,179.7,155.3,1450000,186.03
EV0167,2026-02-10T12:48:00,BYD Atto 3,Bengaluru,Eco,AC,60.5,27.1,88.5,7.2,315.1,37.24,7.51,5.86,313.7,306.2,2499000,279.67
EV0168,2026-01-26T19:34:00,BYD Atto 3,Pune,Normal,AC,60.5,37.9,73.1,7.2,174.9,21.07,8.01,5.82,257.2,241.9,2499000,168.77
EV0169,2026-06-17T04:33:00,BYD Atto 3,Mumbai,Eco,AC,60.5,51.8,96.7,22.0,76.9,27.24,11.25,6.28,367.4,338.7,2499000,306.45
EV0170,2026-02-03T20:31:00,Tata Nexon EV,Chennai,Normal,AC,40.5,38.4,78.8,7.2,140.6,16.92,9.55,6.18,197.2,201.4,1450000,161.59
EV0171,2026-02-26T02:12:00,Hyundai Kona,Pune,Sport,AC,39.2,43.5,77.2,7.2,115.5,13.53,8.89,5.01,151.4,156.9,2371000,120.28
EV0172,2026-03-23T02:40:00,Mahindra XUV400,Mumbai,Sport,AC,39.4,22.4,85.4,7.2,198.0,23.72,8.7,4.77,160.6,151.6,1599000,206.36
EV0173,2026-01-13T19:57:00,MG ZS EV,Bengaluru,Normal,DC Fast,50.3,44.4,74.4,50.0,21.6,14.15,7.58,5.72,214.2,217.4,1899000,107.26
EV0174,2026-02-07T10:41:00,BYD Atto 3,Chennai,Sport,AC,60.5,33.0,69.7,22.0,65.4,21.98,9.61,4.84,204.0,195.9,2499000,211.23
EV0175,2026-02-20T07:23:00,MG ZS EV,Mumbai,Eco,AC,50.3,38.4,77.3,3.3,370.1,20.1,8.89,6.94,269.9,267.7,1899000,178.69
EV0176,2026-05-31T22:19:00,Mahindra XUV400,Hyderabad,Normal,AC,39.4,37.5,65.7,7.2,94.8,11.19,10.01,5.91,153.1,151.1,1599000,112.01
EV0177,2026-05-18T12:08:00,MG ZS EV,Mumbai,Eco,DC Fast,50.3,45.9,86.2,50.0,26.5,19.9,11.94,6.29,272.5,269.5,1899000,237.61
EV0178,2026-05-11T22:59:00,MG ZS EV,Bengaluru,Eco,AC,50.3,31.5,92.8,7.2,272.1,31.53,9.52,6.67,311.5,300.4,1899000,300.17
EV0179,2026-01-17T03:16:00,Tata Nexon EV,Chennai,Normal,AC,40.5,52.0,85.1,7.2,112.3,13.02,8.95,6.11,210.5,186.1,1450000,116.53
EV0180,2026-03-25T04:30:00,Mahindra XUV400,Mumbai,Normal,AC,39.4,54.0,78.5,3.3,183.7,9.87,8.32,6.51,201.2,189.1,1599000,82.12
EV0181,2026-03-05T10:20:00,Hyundai Kona,Mumbai,Normal,DC Fast,39.2,42.8,80.4,50.0,22.8,14.02,9.47,6.34,199.8,193.9,2371000,132.77
EV0182,2026-03-16T17:41:00,Tata Nexon EV,Pune,Eco,DC Fast,40.5,22.3,89.7,50.0,35.3,27.35,8.71,6.45,234.1,218.2,1450000,238.22
EV0183,2026-01-30T22:06:00,Hyundai Kona,Mumbai,Normal,AC,39.2,34.9,70.9,3.3,270.4,14.56,8.37,6.15,170.7,161.5,2371000,121.87
EV0184,2026-04-19T00:13:00,MG ZS EV,Bengaluru,Eco,AC,50.3,24.0,71.4,7.2,195.8,23.79,10.78,6.21,223.0,220.2,1899000,256.46
EV0185,2026-06-28T04:26:00,Hyundai Kona,Hyderabad,Sport,AC,39.2,33.7,82.6,22.0,55.7,18.73,11.03,5.36,173.3,168.5,2371000,206.59
EV0186,2026-05-01T18:44:00,BYD Atto 3,Mumbai,Normal,AC,60.5,52.0,74.4,22.0,37.9,14.32,10.01,5.52,248.4,250.2,2499000,143.34
EV0187,2026-06-04T01:52:00,Hyundai Kona,Hyderabad,Eco,AC,39.2,23.9,78.7,7.2,186.7,21.86,11.47,6.84,211.0,200.6,2371000,250.73
EV0188,2026-04-20T13:33:00,MG ZS EV,Chennai,Normal,AC,50.3,26.1,81.6,7.2,229.9,27.12,11.12,6.05,248.4,269.8,1899000,301.57
EV0189,2026-02-16T07:35:00,Mahindra XUV400,Bengaluru,Sport,AC,39.4,45.7,97.0,7.2,168.2,19.61,11.65,5.49,209.9,206.2,1599000,228.46
EV0190,2026-02-23T06:04:00,MG ZS EV,Mumbai,Eco,AC,50.3,36.2,88.8,22.0,77.1,25.79,7.59,6.37,284.7,276.7,1899000,195.75
EV0191,2026-06-18T17:59:00,MG ZS EV,Mumbai,Sport,AC,50.3,20.0,75.7,22.0,76.0,27.21,11.36,4.92,187.3,171.0,1899000,309.11
EV0192,2026-05-03T10:44:00,Hyundai Kona,Chennai,Normal,DC Fast,39.2,51.7,74.0,50.0,13.3,9.61,7.95,6.03,174.8,160.5,2371000,76.4
EV0193,2026-06-11T19:56:00,Hyundai Kona,Pune,Eco,AC,39.2,42.3,67.2,22.0,37.5,9.96,11.38,6.77,178.3,153.8,2371000,113.34
EV0194,2026-04-30T09:11:00,BYD Atto 3,Hyderabad,Eco,AC,60.5,25.8,77.2,7.2,265.3,31.69,8.31,5.88,274.4,265.4,2499000,263.34
EV0195,2026-04-23T02:54:00,MG ZS EV,Pune,Normal,AC,50.3,26.9,82.6,7.2,238.1,27.88,7.29,6.29,261.5,248.1,1899000,203.25
EV0196,2026-01-06T12:04:00,BYD Atto 3,Mumbai,Normal,AC,60.5,42.0,97.6,3.3,639.9,35.12,11.35,5.7,336.7,325.1,2499000,398.61
EV0197,2026-04-24T18:38:00,Hyundai Kona,Chennai,Normal,AC,39.2,44.4,92.8,3.3,335.8,18.23,7.94,6.36,231.4,251.1,2371000,144.75
EV0198,2026-02-04T23:09:00,Hyundai Kona,Mumbai,Normal,DC Fast,39.2,42.3,71.7,50.0,17.1,11.13,10.05,5.95,167.3,158.6,2371000,111.86
EV0199,2026-02-25T05:28:00,MG ZS EV,Bengaluru,Eco,AC,50.3,13.7,89.0,3.3,678.6,36.91,9.18,6.18,276.7,265.7,1899000,338.83
EV0200,2026-01-01T04:45:00,Hyundai Kona,Bengaluru,Normal,DC Fast,39.2,34.4,79.2,50.0,18.7,18.23,8.44,5.98,185.8,180.7,2371000,153.86
EV0201,2026-02-01T09:59:00,MG ZS EV,Bengaluru,Normal,AC,50.3,33.3,95.3,3.3,581.1,31.64,7.99,6.25,299.5,291.1,1899000,252.8
EV0202,2026-02-07T20:49:00,MG ZS EV,Bengaluru,Normal,DC Fast,50.3,33.4,84.2,50.0,35.5,25.53,9.84,6.12,259.2,255.3,1899000,251.22
EV0203,2026-01-13T01:05:00,BYD Atto 3,Bengaluru,Eco,AC,60.5,15.0,89.0,22.0,127.1,44.13,7.28,6.87,369.9,341.7,2499000,321.27
EV0204,2026-03-14T03:34:00,Tata Nexon EV,Pune,Sport,AC,40.5,22.1,83.1,22.0,78.1,25.02,7.26,5.46,183.9,190.5,1450000,181.65
EV0205,2026-03-27T10:19:00,MG ZS EV,Mumbai,Sport,AC,50.3,40.6,87.6,7.2,205.8,23.41,8.25,4.98,219.4,216.8,1899000,193.13
EV0206,2026-03-20T03:34:00,MG ZS EV,Hyderabad,Normal,AC,50.3,18.4,93.8,7.2,339.0,39.84,7.24,5.76,271.5,238.8,1899000,288.44
EV0207,2026-05-18T07:35:00,MG ZS EV,Hyderabad,Sport,AC,50.3,13.9,89.7,22.0,110.4,39.23,8.29,4.57,206.3,197.0,1899000,325.22
EV0208,2026-02-06T05:31:00,Mahindra XUV400,Chennai,Eco,AC,39.4,17.3,83.3,22.0,76.4,26.59,8.49,6.86,225.4,202.8,1599000,225.75
EV0209,2026-03-01T23:31:00,Mahindra XUV400,Hyderabad,Sport,AC,39.4,41.3,97.2,7.2,192.7,21.73,11.66,5.64,216.1,221.8,1599000,253.37
EV0210,2026-06-02T15:15:00,Tata Nexon EV,Mumbai,Eco,DC Fast,40.5,20.5,90.3,50.0,32.5,29.82,11.14,7.18,262.4,243.2,1450000,332.19
EV0211,2026-05-10T09:59:00,Mahindra XUV400,Chennai,Normal,AC,39.4,25.9,88.0,22.0,71.3,23.96,8.01,6.62,229.5,220.9,1599000,191.92
EV0212,2026-04-22T17:11:00,Tata Nexon EV,Mumbai,Normal,AC,40.5,32.7,83.9,7.2,172.1,20.4,10.95,6.67,226.6,213.1,1450000,223.38
EV0213,2026-04-23T09:35:00,BYD Atto 3,Hyderabad,Normal,AC,60.5,38.1,68.3,7.2,151.1,18.5,10.67,5.56,230.0,210.5,2499000,197.4
EV0214,2026-02-17T08:19:00,MG ZS EV,Hyderabad,Sport,AC,50.3,37.5,84.5,7.2,189.7,23.12,7.72,4.62,196.3,186.4,1899000,178.49
EV0215,2026-02-04T20:46:00,MG ZS EV,Pune,Normal,AC,50.3,52.6,85.4,3.3,326.5,17.57,7.55,5.73,246.0,238.8,1899000,132.65
EV0216,2026-04-26T05:44:00,Mahindra XUV400,Pune,Normal,DC Fast,39.4,53.2,83.2,50.0,18.9,12.21,9.49,6.46,211.8,193.1,1599000,115.87
EV0217,2026-01-07T18:38:00,Tata Nexon EV,Pune,Normal,AC,40.5,52.9,93.7,3.3,300.7,16.23,9.1,6.26,237.5,223.8,1450000,147.69
EV0218,2026-03-05T03:23:00,Hyundai Kona,Chennai,Eco,AC,39.2,16.2,72.7,7.2,176.6,21.14,8.84,6.48,184.7,170.4,2371000,186.88
EV0219,2026-04-23T12:41:00,BYD Atto 3,Chennai,Sport,DC Fast,60.5,18.5,95.1,50.0,60.9,47.32,11.79,4.35,250.4,244.6,2499000,557.9
EV0220,2026-05-30T05:08:00,Tata Nexon EV,Chennai,Normal,AC,40.5,45.6,77.8,7.2,112.7,13.0,8.88,6.75,212.7,221.4,1450000,115.44
EV0221,2026-06-24T13:41:00,Tata Nexon EV,Pune,Eco,AC,40.5,25.7,74.7,7.2,175.2,20.58,8.31,6.33,191.4,179.0,1450000,171.02
EV0222,2026-03-27T00:43:00,Tata Nexon EV,Hyderabad,Normal,AC,40.5,13.3,85.4,22.0,87.2,30.12,10.27,6.76,233.9,221.8,1450000,309.33
EV0223,2026-06-29T22:07:00,Tata Nexon EV,Hyderabad,Eco,AC,40.5,36.0,89.8,7.2,189.6,22.89,7.13,6.95,252.8,268.7,1450000,163.21
EV0224,2026-01-16T09:51:00,Mahindra XUV400,Mumbai,Sport,AC,39.4,15.3,71.4,7.2,191.1,22.06,11.47,5.16,145.3,149.4,1599000,253.03
EV0225,2026-04-28T20:40:00,BYD Atto 3,Chennai,Eco,AC,60.5,24.7,95.1,7.2,340.9,40.2,10.77,6.29,362.0,357.4,2499000,432.95
EV0226,2026-04-06T11:18:00,Hyundai Kona,Mumbai,Eco,AC,39.2,18.2,85.3,22.0,66.3,24.69,8.36,6.66,222.7,209.6,2371000,206.41
EV0227,2026-03-30T21:34:00,Tata Nexon EV,Hyderabad,Eco,DC Fast,40.5,49.0,92.9,50.0,29.6,17.98,9.8,7.55,284.0,291.8,1450000,176.2
EV0228,2026-02-03T10:14:00,Hyundai Kona,Chennai,Normal,AC,39.2,24.4,73.0,7.2,166.7,19.46,8.05,6.18,176.7,174.3,2371000,156.65
EV0229,2026-05-29T22:47:00,MG ZS EV,Hyderabad,Eco,DC Fast,50.3,42.8,90.1,50.0,35.9,24.06,11.23,6.5,294.7,307.2,1899000,270.19
EV0230,2026-04-07T02:45:00,BYD Atto 3,Bengaluru,Sport,AC,60.5,30.1,91.9,7.2,301.7,35.28,11.2,4.85,269.5,231.7,2499000,395.14
EV0231,2026-03-13T07:36:00,BYD Atto 3,Chennai,Normal,DC Fast,60.5,22.6,81.2,50.0,47.6,34.25,8.99,5.36,263.3,229.9,2499000,307.91
EV0232,2026-04-15T20:16:00,Hyundai Kona,Hyderabad,Normal,DC Fast,39.2,37.0,81.5,50.0,30.6,18.01,9.91,6.01,192.1,178.1,2371000,178.48
EV0233,2026-02-21T05:59:00,BYD Atto 3,Chennai,Normal,AC,60.5,22.3,87.2,7.2,327.7,39.2,7.83,5.69,299.8,289.4,2499000,306.94
EV0234,2026-04-11T17:01:00,Mahindra XUV400,Chennai,Sport,AC,39.4,13.4,78.0,22.0,76.8,26.04,11.46,5.27,161.9,147.6,1599000,298.42
EV0235,2026-02-11T07:30:00,MG ZS EV,Chennai,Eco,AC,50.3,39.6,97.1,7.2,236.3,27.82,7.06,6.86,334.7,307.8,1899000,196.41
EV0236,2026-02-25T03:09:00,Mahindra XUV400,Bengaluru,Normal,AC,39.4,34.0,91.6,7.2,185.5,21.9,11.46,5.89,212.9,200.5,1599000,250.97
EV0237,2026-01-01T02:34:00,Mahindra XUV400,Pune,Eco,AC,39.4,35.9,76.0,7.2,133.0,15.57,11.22,6.92,207.2,217.7,1599000,174.7
EV0238,2026-06-20T05:02:00,Tata Nexon EV,Mumbai,Eco,AC,40.5,44.9,76.9,7.2,109.9,12.65,11.19,6.47,201.3,191.6,1450000,141.55
EV0239,2026-01-15T14:06:00,Tata Nexon EV,Chennai,Sport,AC,40.5,46.3,93.9,22.0,58.7,19.91,7.36,5.56,211.2,193.8,1450000,146.54
EV0240,2026-01-28T01:13:00,MG ZS EV,Mumbai,Sport,DC Fast,50.3,31.1,87.3,50.0,39.3,28.63,8.77,5.01,220.2,211.8,1899000,251.09
EV0241,2026-04-27T18:41:00,BYD Atto 3,Bengaluru,Normal,AC,60.5,23.2,69.5,3.3,532.3,29.03,9.7,6.03,253.4,220.4,2499000,281.59
EV0242,2026-04-06T15:51:00,BYD Atto 3,Bengaluru,Sport,AC,60.5,28.6,92.6,22.0,101.0,37.01,10.4,5.16,289.0,271.6,2499000,384.9
EV0243,2026-05-19T19:11:00,BYD Atto 3,Pune,Sport,AC,60.5,33.2,67.0,3.3,379.4,20.94,7.22,5.01,203.1,208.9,2499000,151.19
EV0244,2026-01-20T22:45:00,Tata Nexon EV,Bengaluru,Sport,AC,40.5,41.8,66.3,22.0,31.0,9.78,10.4,5.73,153.8,138.3,1450000,101.71
EV0245,2026-01-10T20:27:00,BYD Atto 3,Chennai,Sport,AC,60.5,54.2,91.8,7.2,197.4,23.46,11.13,4.4,244.1,259.1,2499000,261.11
EV0246,2026-04-08T10:45:00,Hyundai Kona,Bengaluru,Normal,AC,39.2,39.7,86.4,7.2,156.2,18.07,8.05,6.07,205.7,203.8,2371000,145.46
EV0247,2026-04-16T12:45:00,MG ZS EV,Bengaluru,Eco,AC,50.3,14.8,90.3,7.2,319.1,38.02,10.3,6.35,288.5,301.8,1899000,391.61
EV0248,2026-05-31T02:50:00,Mahindra XUV400,Chennai,Normal,AC,39.4,44.2,80.1,7.2,126.1,14.44,9.78,6.12,193.1,183.6,1599000,141.22
EV0249,2026-06-17T03:24:00,MG ZS EV,Bengaluru,Eco,AC,50.3,38.7,80.1,7.2,177.4,21.02,7.0,6.3,253.6,239.7,1899000,147.14
EV0250,2026-03-13T02:42:00,Hyundai Kona,Hyderabad,Eco,AC,39.2,16.0,83.1,7.2,224.4,27.0,7.73,6.79,221.2,221.6,2371000,208.71
EV0251,2026-06-26T02:23:00,Mahindra XUV400,Chennai,Normal,DC Fast,39.4,38.2,97.6,50.0,34.1,22.62,7.75,6.02,231.3,229.5,1599000,175.3
EV0252,2026-06-07T03:31:00,Mahindra XUV400,Chennai,Sport,AC,39.4,28.3,86.4,3.3,438.4,23.77,10.37,5.13,174.8,158.6,1599000,246.49
EV0253,2026-03-24T02:40:00,Tata Nexon EV,Mumbai,Eco,AC,40.5,22.5,93.2,22.0,87.5,28.88,9.95,7.0,264.2,256.8,1450000,287.36
EV0254,2026-06-16T16:47:00,Tata Nexon EV,Chennai,Normal,AC,40.5,37.3,77.1,22.0,47.8,15.49,8.61,6.95,216.8,210.0,1450000,133.37
EV0255,2026-01-16T03:19:00,BYD Atto 3,Chennai,Eco,DC Fast,60.5,12.5,97.6,50.0,60.4,49.09,11.79,6.27,369.8,363.1,2499000,578.77
EV0256,2026-04-05T00:19:00,BYD Atto 3,Bengaluru,Sport,DC Fast,60.5,18.6,90.6,50.0,55.6,43.79,11.57,4.61,252.9,249.9,2499000,506.65
EV0257,2026-05-24T23:10:00,Tata Nexon EV,Bengaluru,Sport,AC,40.5,16.3,84.5,7.2,237.3,27.7,10.25,5.32,182.2,161.8,1450000,283.92
EV0258,2026-02-01T14:49:00,Hyundai Kona,Bengaluru,Eco,AC,39.2,52.0,85.2,22.0,36.5,12.45,7.5,7.26,242.5,234.0,2371000,93.38
EV0259,2026-04-20T03:18:00,BYD Atto 3,Pune,Eco,AC,60.5,22.4,67.0,7.2,219.5,26.32,9.82,5.98,242.3,224.8,2499000,258.46
EV0260,2026-02-20T17:04:00,Hyundai Kona,Hyderabad,Normal,AC,39.2,40.2,71.9,3.3,240.4,12.83,10.87,5.99,168.9,137.5,2371000,139.46
EV0261,2026-04-17T21:42:00,BYD Atto 3,Mumbai,Eco,DC Fast,60.5,15.4,89.8,50.0,58.1,44.53,7.46,6.6,358.4,354.2,2499000,332.19
EV0262,2026-03-12T06:50:00,Mahindra XUV400,Pune,Normal,AC,39.4,22.1,78.0,7.2,168.3,20.08,10.01,6.45,198.2,192.5,1599000,201.0
EV0263,2026-03-10T07:11:00,BYD Atto 3,Chennai,Normal,DC Fast,60.5,14.8,73.4,50.0,42.1,33.47,8.9,6.22,276.2,266.0,2499000,297.88
EV0264,2026-03-29T02:49:00,BYD Atto 3,Mumbai,Sport,AC,60.5,44.9,79.8,22.0,58.1,20.52,10.91,5.28,255.0,244.8,2499000,223.87
EV0265,2026-04-21T03:52:00,BYD Atto 3,Bengaluru,Normal,AC,60.5,38.5,70.0,7.2,175.6,20.09,9.23,5.86,248.4,261.9,2499000,185.43
EV0266,2026-01-18T20:00:00,MG ZS EV,Pune,Normal,AC,50.3,19.8,89.1,3.3,659.9,35.87,8.69,6.19,277.4,297.6,1899000,311.71
EV0267,2026-04-20T22:12:00,Tata Nexon EV,Chennai,Normal,AC,40.5,23.5,72.3,22.0,61.1,21.41,9.73,6.53,191.4,195.1,1450000,208.32
EV0268,2026-02-27T09:37:00,Hyundai Kona,Bengaluru,Sport,DC Fast,39.2,49.6,95.6,50.0,28.6,16.74,7.85,5.3,198.7,183.5,2371000,131.41
EV0269,2026-06-21T00:56:00,Mahindra XUV400,Bengaluru,Eco,AC,39.4,53.3,92.1,22.0,41.9,15.24,8.28,6.91,250.8,257.1,1599000,126.19
EV0270,2026-04-28T03:55:00,MG ZS EV,Bengaluru,Normal,AC,50.3,40.2,79.9,7.2,168.1,19.87,8.66,6.05,243.3,229.8,1899000,172.07
EV0271,2026-03-23T12:05:00,BYD Atto 3,Mumbai,Eco,AC,60.5,20.3,82.9,22.0,103.6,37.76,10.61,6.03,302.5,284.0,2499000,400.63
EV0272,2026-01-13T01:16:00,Tata Nexon EV,Pune,Normal,AC,40.5,48.3,69.9,7.2,77.2,8.7,10.2,6.63,187.7,202.6,1450000,88.74
EV0273,2026-05-13T11:19:00,Tata Nexon EV,Hyderabad,Normal,AC,40.5,48.9,74.3,22.0,28.2,10.26,7.28,6.81,204.7,192.3,1450000,74.69
EV0274,2026-02-11T02:03:00,Tata Nexon EV,Hyderabad,Sport,AC,40.5,25.4,97.4,7.2,242.2,28.23,7.38,5.76,227.4,211.1,1450000,208.34
EV0275,2026-04-19T16:00:00,Mahindra XUV400,Hyderabad,Sport,AC,39.4,40.9,88.5,22.0,54.6,19.13,11.69,5.48,190.9,195.3,1599000,223.63
EV0276,2026-04-14T06:17:00,Hyundai Kona,Hyderabad,Eco,AC,39.2,33.1,70.7,3.3,279.0,14.86,7.13,6.93,192.2,188.5,2371000,105.95
EV0277,2026-04-10T07:55:00,MG ZS EV,Pune,Normal,AC,50.3,39.9,77.8,3.3,360.1,19.55,10.25,6.15,240.7,231.7,1899000,200.39
EV0278,2026-06-24T18:58:00,Mahindra XUV400,Chennai,Sport,AC,39.4,29.9,65.1,3.3,247.3,13.57,7.73,5.59,143.5,146.9,1599000,104.9
EV0279,2026-05-15T04:08:00,Mahindra XUV400,Mumbai,Normal,AC,39.4,12.6,74.3,7.2,206.3,23.97,10.39,6.27,183.4,194.9,1599000,249.05
EV0280,2026-01-03T03:26:00,Mahindra XUV400,Pune,Eco,AC,39.4,39.9,81.0,3.3,289.5,15.75,8.42,6.36,202.8,187.9,1599000,132.62
EV0281,2026-03-05T06:48:00,MG ZS EV,Mumbai,Normal,AC,50.3,50.6,86.0,7.2,145.6,17.43,9.36,6.29,272.1,272.9,1899000,163.14
EV0282,2026-02-19T13:11:00,Mahindra XUV400,Hyderabad,Sport,AC,39.4,35.8,73.9,3.3,280.4,15.37,7.4,4.94,143.8,133.1,1599000,113.74
EV0283,2026-05-06T22:57:00,Tata Nexon EV,Bengaluru,Eco,AC,40.5,32.5,76.2,7.2,144.3,16.8,10.21,6.65,205.1,196.6,1450000,171.53
EV0284,2026-03-27T00:02:00,Hyundai Kona,Bengaluru,Normal,AC,39.2,42.3,92.1,7.2,176.5,20.31,7.47,6.32,228.0,215.8,2371000,151.72
EV0285,2026-02-04T13:29:00,Tata Nexon EV,Bengaluru,Normal,AC,40.5,39.0,78.9,7.2,135.1,15.57,11.83,6.11,195.4,201.5,1450000,184.19
EV0286,2026-06-15T01:12:00,Hyundai Kona,Hyderabad,Normal,DC Fast,39.2,33.4,80.8,50.0,23.8,18.76,10.0,6.18,195.9,195.6,2371000,187.6
EV0287,2026-01-13T02:05:00,MG ZS EV,Mumbai,Sport,AC,50.3,52.3,86.3,7.2,154.9,17.78,7.06,4.78,207.5,213.0,1899000,125.53
EV0288,2026-04-15T05:04:00,MG ZS EV,Pune,Normal,DC Fast,50.3,42.4,91.4,50.0,32.7,23.49,8.37,6.31,290.3,279.4,1899000,196.61
EV0289,2026-01-05T17:49:00,BYD Atto 3,Bengaluru,Eco,DC Fast,60.5,27.8,76.6,50.0,35.8,29.19,7.52,6.25,289.5,305.0,2499000,219.51
EV0290,2026-06-11T00:01:00,Tata Nexon EV,Bengaluru,Normal,AC,40.5,40.9,91.3,22.0,61.2,21.17,9.48,6.39,236.1,203.0,1450000,200.69
EV0291,2026-03-06T03:18:00,MG ZS EV,Mumbai,Normal,AC,50.3,32.7,87.4,7.2,226.6,26.98,10.47,6.27,275.7,245.4,1899000,282.48
EV0292,2026-05-11T10:36:00,MG ZS EV,Hyderabad,Normal,AC,50.3,17.8,79.6,3.3,581.5,31.66,11.58,6.12,244.9,235.5,1899000,366.62
EV0293,2026-03-23T22:56:00,Hyundai Kona,Chennai,Sport,AC,39.2,24.3,93.6,22.0,81.5,27.64,8.34,4.97,182.4,171.6,2371000,230.52
EV0294,2026-01-14T16:28:00,Hyundai Kona,Mumbai,Eco,AC,39.2,42.0,97.1,22.0,66.0,21.48,7.34,6.93,263.9,231.3,2371000,157.66
EV0295,2026-05-31T18:39:00,Hyundai Kona,Pune,Normal,AC,39.2,51.0,94.7,7.2,143.4,16.73,9.56,6.19,229.8,197.9,2371000,159.94
EV0296,2026-03-31T08:16:00,Tata Nexon EV,Mumbai,Eco,AC,40.5,24.9,72.7,22.0,56.1,18.25,9.01,7.55,222.3,224.0,1450000,164.43
EV0297,2026-01-28T10:14:00,MG ZS EV,Mumbai,Normal,DC Fast,50.3,15.7,94.0,50.0,49.5,39.95,9.81,5.91,279.3,228.0,1899000,391.91
EV0298,2026-01-19T21:08:00,Tata Nexon EV,Bengaluru,Normal,AC,40.5,25.9,65.2,7.2,123.6,14.69,10.4,6.64,175.5,157.0,1450000,152.78
EV0299,2026-05-17T07:56:00,BYD Atto 3,Hyderabad,Normal,AC,60.5,47.3,88.6,3.3,446.3,24.43,7.1,5.86,314.0,298.1,2499000,173.45
EV0300,2026-03-12T07:28:00,Mahindra XUV400,Bengaluru,Normal,AC,39.4,31.4,91.1,7.2,199.3,23.44,11.83,6.16,220.9,194.4,1599000,277.3
EV0301,2026-03-21T07:33:00,Mahindra XUV400,Bengaluru,Normal,AC,39.4,35.8,78.5,7.2,134.4,16.32,10.53,6.16,190.6,188.1,1599000,171.85
EV0302,2026-03-08T03:34:00,Hyundai Kona,Pune,Sport,AC,39.2,36.2,88.1,7.2,183.3,21.53,10.59,4.69,162.1,138.4,2371000,228.0
EV0303,2026-05-17T17:29:00,BYD Atto 3,Chennai,Normal,AC,60.5,48.7,80.8,3.3,372.1,20.27,10.41,5.97,292.2,266.2,2499000,211.01
EV0304,2026-06-02T04:04:00,Mahindra XUV400,Chennai,Eco,DC Fast,39.4,53.2,90.8,50.0,19.7,13.95,10.83,6.84,244.5,218.7,1599000,151.08
EV0305,2026-04-04T23:29:00,Hyundai Kona,Chennai,Sport,AC,39.2,16.7,77.6,7.2,206.6,23.91,7.08,5.13,156.0,146.9,2371000,169.28
EV0306,2026-03-03T21:43:00,Tata Nexon EV,Chennai,Normal,AC,40.5,19.1,88.3,7.2,240.9,28.73,11.43,6.57,234.8,214.4,1450000,328.38
EV0307,2026-02-10T06:20:00,Hyundai Kona,Hyderabad,Normal,AC,39.2,32.3,80.8,3.3,369.7,20.42,8.46,6.6,209.0,212.5,2371000,172.75
EV0308,2026-06-09T04:17:00,Hyundai Kona,Pune,Normal,AC,39.2,33.4,95.6,7.2,195.2,22.53,11.06,6.21,232.4,217.9,2371000,249.18
EV0309,2026-06-04T14:23:00,BYD Atto 3,Hyderabad,Normal,AC,60.5,48.0,77.2,7.2,148.1,17.72,8.28,5.45,254.8,241.9,2499000,146.72
EV0310,2026-06-28T09:06:00,Mahindra XUV400,Chennai,Normal,AC,39.4,15.2,90.3,7.2,259.7,30.21,10.9,6.48,230.5,207.3,1599000,329.29
